"scenario_id","mechanism","structure","true_beta3","method","attempted","successful","convergence_rate","mean_estimate","bias","absolute_bias","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","rejection_label","mean_ci_width","mcse_bias","mcse_coverage","mcse_rejection","minimum_estimate","maximum_estimate"
"VD_B_N","VD","B",0,"M11_combined_two_process_IIW_GEE",1000,1000,1,-0.0103916805189891,-0.0103916805189891,0.0103916805189891,0.0269274154927326,0.0266031637827038,0.987958305537479,0.0288504357579201,0.931,0.069,"type_I_error",0.104284402028199,0.000851519644587403,0.00801492358042171,0.00801492358042171,-0.100580622922212,0.0679138735922879
"VD_B_N","VD","B",0,"M12_oracle_combined_IIW_GEE",1000,1000,1,-0.00695809690073514,-0.00695809690073514,0.00695809690073514,0.0264610611542083,0.0265094516649015,1.0018287441464,0.0273478094576031,0.95,0.05,"type_I_error",0.103917050526414,0.000836772225523023,0.00689202437604511,0.00689202437604511,-0.0931531944642214,0.0748127463675098
"VD_B_A","VD","B",0.2,"M8_patient_clustered_GEE",1000,1000,1,0.15026208207932,-0.0497379179206798,0.0497379179206798,0.0321228159770065,0.0312329062239746,0.972296645671759,0.0592005397785409,0.637,0.993,"power",0.12243299239798,0.00101581263345787,0.0152062815967613,0.00263647491928143,0.0505010991536992,0.247817815325736
"VD_B_A","VD","B",0.2,"M9_single_process_IIW_GEE",1000,1000,1,0.187073835161116,-0.0129261648388844,0.0129261648388844,0.0271676562700033,0.0269241118294749,0.991035500519147,0.0300737294511315,0.93,1,"power",0.105542518371541,0.000859116725017649,0.00806845710157772,0,0.091769972979307,0.278074921250074
"VD_B_A","VD","B",0.2,"M10_separate_two_process_IIW_GEE",1000,1000,1,0.187564865484108,-0.0124351345158925,0.0124351345158925,0.0271906823900946,0.0266503951168202,0.980129690549021,0.0298868942190135,0.929,1,"power",0.104469548857935,0.0008598448748693,0.00812151463706124,0,0.0836626794444627,0.278645362069898
"VD_B_A","VD","B",0.2,"M11_combined_two_process_IIW_GEE",1000,1000,1,0.187150760174668,-0.0128492398253317,0.0128492398253317,0.0271807866629295,0.0266243620249028,0.979528751506462,0.0300526094131768,0.924,1,"power",0.104367499137619,0.000859531944499845,0.00837997613361756,0,0.0829001322763426,0.277978415477494
"VD_B_A","VD","B",0.2,"M12_oracle_combined_IIW_GEE",1000,1000,1,0.186444666037943,-0.0135553339620566,0.0135553339620566,0.026884402365428,0.0266149365231617,0.989976870655204,0.0300964349762321,0.927,1,"power",0.104330551170794,0.000850159450071707,0.00822623850857729,0,0.0853913537940392,0.271483556593389
"VD_SH_N","VD","SH",0,"M8_patient_clustered_GEE",1000,1000,1,-0.0503545555910935,-0.0503545555910935,0.0503545555910935,0.0320533870595202,0.0311698702988664,0.972436087362212,0.0596822709951788,0.635,0.365,"type_I_error",0.122185891571556,0.00101361709831051,0.0152241584332271,0.0152241584332271,-0.174667649159565,0.0556582969845315
"VD_SH_N","VD","SH",0,"M9_single_process_IIW_GEE",1000,1000,1,-0.00830245262040676,-0.00830245262040676,0.00830245262040676,0.0264853189091961,0.0270327739538155,1.02067013225313,0.0277434923021273,0.947,0.053,"type_I_error",0.105968473898957,0.00083753932308986,0.00708456067798138,0.00708456067798138,-0.0913825782466445,0.0663214536264522
"VD_SH_N","VD","SH",0,"M10_separate_two_process_IIW_GEE",1000,1000,1,-0.00844056537280706,-0.00844056537280706,0.00844056537280706,0.0265457646830255,0.0266812501156931,1.00510384365586,0.0278427026130113,0.938,0.062,"type_I_error",0.104590500453517,0.000839450786292184,0.00762600813007697,0.00762600813007697,-0.0927502704826689,0.0739034717236765
"VD_SH_N","VD","SH",0,"M11_combined_two_process_IIW_GEE",1000,1000,1,-0.00855032871537585,-0.00855032871537585,0.00855032871537585,0.0265142297745378,0.0266582641053403,1.00543234074787,0.0278461756314476,0.939,0.061,"type_I_error",0.104500395292934,0.000838453564925921,0.00756828910652864,0.00756828910652864,-0.0939556508948091,0.0752147702305359
"VD_SH_N","VD","SH",0,"M12_oracle_combined_IIW_GEE",1000,1000,1,-0.00530421903949842,-0.00530421903949842,0.00530421903949842,0.0259487742485269,0.0266307600483984,1.02628200443457,0.0264726327692391,0.955,0.045,"type_I_error",0.104392579389722,0.000820572291148692,0.00655553201502365,0.00655553201502365,-0.0859387310917891,0.0729031308117431
"VD_SH_A","VD","SH",0.2,"M8_patient_clustered_GEE",1000,1000,1,0.15162724514663,-0.0483727548533702,0.0483727548533702,0.0314726446199442,0.0310198121454169,0.98561187088039,0.0577014752334651,0.651,0.989,"power",0.121597663610034,0.000995252409880681,0.0150731217735411,0.00329833291224522,0.0455238788138848,0.239264617834869
"VD_SH_A","VD","SH",0.2,"M9_single_process_IIW_GEE",1000,1000,1,0.187839277896275,-0.0121607221037248,0.0121607221037248,0.0269723030820462,0.0268978203437846,0.997238547333722,0.0295746646726591,0.931,1,"power",0.105439455747636,0.000852939114796455,0.00801492358042171,0,0.101984318160171,0.268844420369307
"VD_SH_A","VD","SH",0.2,"M10_separate_two_process_IIW_GEE",1000,1000,1,0.186985382893996,-0.0130146171060037,0.0130146171060037,0.0265732841993926,0.0265662773736662,0.999736320671777,0.0295772472032884,0.928,1,"power",0.104139807304772,0.000840321029810447,0.00817410545564467,0,0.102643751235685,0.269703257534411
"VD_SH_A","VD","SH",0.2,"M11_combined_two_process_IIW_GEE",1000,1000,1,0.187126096743769,-0.0128739032562315,0.0128739032562315,0.0266213498799938,0.0265383829904216,0.9968834454321,0.0295588389185776,0.926,1,"power",0.104030461322453,0.000841841000090305,0.00827792244467173,0,0.103226570373745,0.271209722603201
"VD_SH_A","VD","SH",0.2,"M12_oracle_combined_IIW_GEE",1000,1000,1,0.186792985485671,-0.0132070145143287,0.0132070145143287,0.0264535755126348,0.0265596384583048,1.00400939924432,0.0295553226699854,0.928,1,"power",0.104113782756555,0.000836535508751822,0.00817410545564467,0,0.100638744753537,0.269175982334962
