"scenario_id","mechanism","structure","true_beta3","method","attempted","successful","convergence_rate","mean_estimate","bias","relative_bias_percent","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","rejection_label","mean_ci_width","mcse_bias","mcse_coverage","mcse_rejection","minimum_estimate","maximum_estimate"
"VS_B_A","VS","B",0.2,"M10_separate_two_process_IIW_GEE",2,2,1,0.175698419338274,-0.0243015806617258,-12.1507903308629,0.00135204992986804,0.0266071650730158,19.6791290656054,0.024320379153393,1,1,"power",0.104300087086222,0.000956043673912485,0,0,0.174742375664362,0.176654463012187
"VS_B_A","VS","B",0.2,"M11_combined_two_process_IIW_GEE",2,2,1,0.177180524874738,-0.022819475125262,-11.409737562631,0.000485930665240332,0.0266345304710573,54.8113802570669,0.0228220618984824,1,1,"power",0.104407359446545,0.000343604868577929,0,0,0.17683692000616,0.177524129743316
"VS_B_A","VS","B",0.2,"M12_oracle_combined_IIW_GEE",2,2,1,0.171169677803588,-0.0288303221964123,-14.4151610982062,0.00534864899610814,0.0264378607201877,4.942904411829,0.0290773365525581,1,1,"power",0.103636414023136,0.00378206597533469,0,0,0.167387611828253,0.174951743778922
"VS_B_A","VS","B",0.2,"M8_patient_clustered_GEE",2,2,1,0.178601267671119,-0.0213987323288813,-10.6993661644406,0.0279199146487442,0.0326020286766808,1.16769800648897,0.0291147138450593,1,1,"power",0.127799952412589,0.0197423609782767,0,0,0.158858906692842,0.198343628649395
"VS_B_A","VS","B",0.2,"M9_single_process_IIW_GEE",2,2,1,0.173426362187127,-0.0265736378128732,-13.2868189064366,0.00489174983091557,0.0272327264042172,5.56707259069301,0.0267978139931954,1,1,"power",0.106752287504532,0.00345898947730855,0,0,0.169967372709818,0.176885351664435
"VS_B_N","VS","B",0,"M10_separate_two_process_IIW_GEE",2,2,1,-0.024333179867744,-0.024333179867744,NA,0.0347532816051005,0.0282685844331937,0.813407630232104,0.0345832175142465,1,0,"type_I_error",0.110812850978119,0.0245742810914522,0,0,-0.0489074609591962,0.000241101223708235
"VS_B_N","VS","B",0,"M11_combined_two_process_IIW_GEE",2,2,1,-0.0252499238717466,-0.0252499238717466,NA,0.0324817551290298,0.0281621883371278,0.867015597687285,0.0341334273646835,1,0,"type_I_error",0.110395778281541,0.0229680693165779,0,0,-0.0482179931883245,-0.00228185455516869
"VS_B_N","VS","B",0,"M12_oracle_combined_IIW_GEE",2,2,1,-0.0240789884446165,-0.0240789884446165,NA,0.0331217180551531,0.0282282013448452,0.852256555588107,0.0335905014547044,1,0,"type_I_error",0.110654549271793,0.0234205914413476,0,0,-0.0474995798859641,-0.000658397003268804
"VS_B_N","VS","B",0,"M8_patient_clustered_GEE",2,2,1,-0.0496933482468172,-0.0496933482468172,NA,0.000720964439673242,0.0329306662560532,45.6758536814633,0.0496959631644371,1,0,"type_I_error",0.129088211723729,0.000509798844287309,0,0,-0.0502031470911045,-0.0491835494025299
"VS_B_N","VS","B",0,"M9_single_process_IIW_GEE",2,2,1,-0.0265481988247474,-0.0265481988247474,NA,0.0346282878140006,0.0287792801512111,0.831091629646651,0.0361160077985227,1,0,"type_I_error",0.112814778192747,0.0244858971341593,0,0,-0.0510340959589068,-0.00206230169058807
"VS_SH_A","VS","SH",0.2,"M10_separate_two_process_IIW_GEE",2,2,1,0.159231358400775,-0.0407686415992249,-20.3843207996125,0.0198626807039565,0.0265641236537115,1.33738864605623,0.0431201250023665,0.5,1,"power",0.104131364722549,0.0140450362183108,0.353553390593274,0,0.145186322182464,0.173276394619086
"VS_SH_A","VS","SH",0.2,"M11_combined_two_process_IIW_GEE",2,2,1,0.16044744725641,-0.0395525527435904,-19.7762763717952,0.0188000292780429,0.0264942862708385,1.4092683516074,0.0417267897035243,0.5,1,"power",0.103857602181687,0.0132936281890098,0.353553390593274,0,0.1471538190674,0.173741075445419
"VS_SH_A","VS","SH",0.2,"M12_oracle_combined_IIW_GEE",2,2,1,0.159766219786962,-0.0402337802130375,-20.1168901065188,0.0160712132443434,0.0264228326383146,1.64410939215275,0.041807882244902,1,1,"power",0.103577503942193,0.0113640638669702,0,0,0.148402155919992,0.171130283653933
"VS_SH_A","VS","SH",0.2,"M8_patient_clustered_GEE",2,2,1,0.184265666120357,-0.015734333879643,-7.86716693982149,0.00111843762574846,0.0303891942282184,27.1711122092141,0.0157541967106364,1,1,"power",0.119125641374616,0.00079085482950092,0,0,0.183474811290856,0.185056520949858
"VS_SH_A","VS","SH",0.2,"M9_single_process_IIW_GEE",2,2,1,0.162793588240429,-0.0372064117595707,-18.6032058797854,0.0181436827263949,0.0265877918060461,1.46540215715781,0.0393562407689145,1,1,"power",0.104224143879701,0.0128295210915311,0,0,0.149964067148898,0.17562310933196
"VS_SH_N","VS","SH",0,"M10_separate_two_process_IIW_GEE",2,2,1,-0.00709507928412626,-0.00709507928412626,NA,0.036505196494768,0.0264587619777014,0.724794399654678,0.0267704097019237,1,0,"type_I_error",0.10371834695259,0.0258130719899978,0,0,-0.0329081512741241,0.0187179927058716
"VS_SH_N","VS","SH",0,"M11_combined_two_process_IIW_GEE",2,2,1,-0.00723994848887331,-0.00723994848887331,NA,0.0348206706324233,0.0264448667453993,0.759458857773267,0.0256643021679412,1,0,"type_I_error",0.103663877641965,0.0246219323296497,0,0,-0.0318618808185231,0.0173819838407764
"VS_SH_N","VS","SH",0,"M12_oracle_combined_IIW_GEE",2,2,1,-0.00768009072578857,-0.00768009072578857,NA,0.032929216103338,0.0264907166161627,0.804474559401291,0.024518369239134,1,0,"type_I_error",0.103843609135358,0.0232844720058276,0,0,-0.0309645627316161,0.015604381280039
"VS_SH_N","VS","SH",0,"M8_patient_clustered_GEE",2,2,1,-0.00868985135180651,-0.00868985135180651,NA,0.0356404848986005,0.032821780941968,0.920912861745516,0.0266577493127266,1,0,"type_I_error",0.128661381292515,0.0252016285565771,0,0,-0.0338914799083836,0.0165117772047706
"VS_SH_N","VS","SH",0,"M9_single_process_IIW_GEE",2,2,1,-0.0107500683181624,-0.0107500683181624,NA,0.0465332722381372,0.0267721851547967,0.575334247241162,0.0346155554836183,1,0,"type_I_error",0.104946965806803,0.0329039923503865,0,0,-0.043654060668549,0.0221539240322241
