"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M9_numerator",TRUE,721605,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_SH_N",1,21160001
"M10_M11_eye_denominator",TRUE,563589,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_SH_N",1,21160001
"M10_M11_eye_numerator",TRUE,563589,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_SH_N",1,21160001
"M10_M11_shared_denominator",TRUE,174105,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_SH_N",1,21160001
"M10_M11_shared_numerator",TRUE,174105,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_SH_N",1,21160001
"M9_denominator",TRUE,730365,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_SH_N",2,21160002
"M9_numerator",TRUE,730365,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_SH_N",2,21160002
"M10_M11_eye_denominator",TRUE,522247,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_SH_N",2,21160002
"M10_M11_eye_numerator",TRUE,522247,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_SH_N",2,21160002
"M10_M11_shared_denominator",TRUE,182865,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_SH_N",2,21160002
"M10_M11_shared_numerator",TRUE,182865,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_SH_N",2,21160002
"M9_denominator",TRUE,727080,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_SH_A",1,21260001
"M9_numerator",TRUE,727080,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_SH_A",1,21260001
"M10_M11_eye_denominator",TRUE,546998,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_SH_A",1,21260001
"M10_M11_eye_numerator",TRUE,546998,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_SH_A",1,21260001
"M10_M11_shared_denominator",TRUE,179580,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_SH_A",1,21260001
"M10_M11_shared_numerator",TRUE,179580,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_SH_A",1,21260001
"M9_denominator",TRUE,709560,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_SH_A",2,21260002
"M9_numerator",TRUE,709560,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_SH_A",2,21260002
"M10_M11_eye_denominator",TRUE,544992,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_SH_A",2,21260002
"M10_M11_eye_numerator",TRUE,544992,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_SH_A",2,21260002
"M10_M11_shared_denominator",TRUE,162060,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_SH_A",2,21260002
"M10_M11_shared_numerator",TRUE,162060,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_SH_A",2,21260002
