"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M10_M11_shared_numerator",TRUE,173010,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",751,20960751
"M9_denominator",TRUE,745695,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",752,20960752
"M9_numerator",TRUE,745695,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",752,20960752
"M10_M11_eye_denominator",TRUE,541401,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",752,20960752
"M10_M11_eye_numerator",TRUE,541401,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",752,20960752
"M10_M11_shared_denominator",TRUE,198195,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",752,20960752
"M10_M11_shared_numerator",TRUE,198195,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",752,20960752
"M9_denominator",TRUE,719415,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",753,20960753
"M9_numerator",TRUE,719415,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",753,20960753
"M10_M11_eye_denominator",TRUE,519671,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",753,20960753
"M10_M11_eye_numerator",TRUE,519671,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",753,20960753
"M10_M11_shared_denominator",TRUE,171915,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",753,20960753
"M10_M11_shared_numerator",TRUE,171915,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",753,20960753
"M9_denominator",TRUE,738030,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",754,20960754
"M9_numerator",TRUE,738030,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",754,20960754
"M10_M11_eye_denominator",TRUE,551218,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",754,20960754
"M10_M11_eye_numerator",TRUE,551218,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",754,20960754
"M10_M11_shared_denominator",TRUE,190530,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",754,20960754
"M10_M11_shared_numerator",TRUE,190530,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",754,20960754
"M9_denominator",TRUE,741315,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",755,20960755
"M9_numerator",TRUE,741315,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",755,20960755
"M10_M11_eye_denominator",TRUE,539211,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",755,20960755
"M10_M11_eye_numerator",TRUE,539211,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",755,20960755
"M10_M11_shared_denominator",TRUE,193815,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",755,20960755
"M10_M11_shared_numerator",TRUE,193815,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",755,20960755
"M9_denominator",TRUE,720510,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",756,20960756
"M9_numerator",TRUE,720510,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",756,20960756
"M10_M11_eye_denominator",TRUE,549078,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",756,20960756
"M10_M11_eye_numerator",TRUE,549078,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",756,20960756
"M10_M11_shared_denominator",TRUE,173010,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",756,20960756
"M10_M11_shared_numerator",TRUE,173010,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",756,20960756
"M9_denominator",TRUE,721605,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",757,20960757
"M9_numerator",TRUE,721605,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",757,20960757
"M10_M11_eye_denominator",TRUE,539347,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",757,20960757
"M10_M11_eye_numerator",TRUE,539347,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",757,20960757
"M10_M11_shared_denominator",TRUE,174105,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",757,20960757
"M10_M11_shared_numerator",TRUE,174105,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",757,20960757
"M9_denominator",TRUE,740220,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",758,20960758
"M9_numerator",TRUE,740220,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",758,20960758
"M10_M11_eye_denominator",TRUE,533760,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",758,20960758
"M10_M11_eye_numerator",TRUE,533760,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",758,20960758
"M10_M11_shared_denominator",TRUE,192720,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",758,20960758
"M10_M11_shared_numerator",TRUE,192720,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",758,20960758
"M9_denominator",TRUE,725985,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",759,20960759
"M9_numerator",TRUE,725985,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",759,20960759
"M10_M11_eye_denominator",TRUE,541515,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",759,20960759
"M10_M11_eye_numerator",TRUE,541515,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",759,20960759
"M10_M11_shared_denominator",TRUE,178485,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",759,20960759
"M10_M11_shared_numerator",TRUE,178485,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",759,20960759
"M9_denominator",TRUE,738030,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",760,20960760
"M9_numerator",TRUE,738030,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",760,20960760
"M10_M11_eye_denominator",TRUE,555642,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",760,20960760
"M10_M11_eye_numerator",TRUE,555642,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",760,20960760
"M10_M11_shared_denominator",TRUE,190530,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",760,20960760
"M10_M11_shared_numerator",TRUE,190530,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",760,20960760
"M9_denominator",TRUE,723795,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",761,20960761
"M9_numerator",TRUE,723795,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",761,20960761
