"method","estimate","std_error","ci_lower","ci_upper","p_value","converged","runtime_seconds","n_records","failure_reason","warning","scenario_id","mechanism","structure","true_beta3","replicate","seed","absolute_error","z_value","reject_005","ci_covers_truth","ci_width","error","squared_error"
"M8_patient_clustered_GEE",-0.0224742054751112,0.035145312435433,-0.0913590178485599,0.0464106068983374,0.522520322723535,TRUE,0.47999999999999,23780,"","","VD_B_N","VD","B",0,13,20560013,0.0224742054751112,-0.639465234984028,FALSE,TRUE,0.137769624746897,-0.0224742054751112,0.00050508991173752
"M9_single_process_IIW_GEE",-0.00696462422083978,0.0286404466949756,-0.0630998997429919,0.0491706513013124,0.807870276458555,TRUE,0.460000000000008,23780,"","","VD_B_N","VD","B",0,13,20560013,0.00696462422083978,-0.243174427236206,FALSE,TRUE,0.112270551044304,-0.00696462422083978,4.85059905375082e-05
"M10_separate_two_process_IIW_GEE",-0.00538042973704758,0.0279531704354694,-0.0601686437905675,0.0494077843164724,0.847366134853364,TRUE,0.530000000000001,23780,"","","VD_B_N","VD","B",0,13,20560013,0.00538042973704758,-0.192480124909925,FALSE,TRUE,0.10957642810704,-0.00538042973704758,2.89490241553058e-05
"M11_combined_two_process_IIW_GEE",-0.00399434378578465,0.0279279263421303,-0.0587330794163601,0.0507443918447908,0.88627179098876,TRUE,0.449999999999989,23780,"","","VD_B_N","VD","B",0,13,20560013,0.00399434378578465,-0.143023285612116,FALSE,TRUE,0.109477471261151,-0.00399434378578465,1.59547822790365e-05
"M12_oracle_combined_IIW_GEE",0.00021721406694847,0.0279131136191957,-0.0544924886266751,0.054926916760572,0.993791090324022,TRUE,0.560000000000002,23780,"","","VD_B_N","VD","B",0,13,20560013,0.00021721406694847,0.00778179281293412,FALSE,TRUE,0.109419405387247,0.00021721406694847,4.71819508802946e-08
"M8_patient_clustered_GEE",-0.0475568694418989,0.0312960834926873,-0.108897193087566,0.0137834542037683,0.128616833712744,TRUE,0.439999999999998,24680,"","","VD_B_N","VD","B",0,14,20560014,0.0475568694418989,-1.51957894197883,FALSE,TRUE,0.122680647291334,-0.0475568694418989,0.00226165583111382
"M9_single_process_IIW_GEE",-0.0171952483094565,0.0281508359116294,-0.0723708866962501,0.0379803900773371,0.541315112475576,TRUE,0.460000000000008,24680,"","","VD_B_N","VD","B",0,14,20560014,0.0171952483094565,-0.610825496032711,FALSE,TRUE,0.110351276773587,-0.0171952483094565,0.000295676564423866
"M10_separate_two_process_IIW_GEE",-0.00916460880352472,0.0277774523072112,-0.0636084153256586,0.0452791977186092,0.741453019024409,TRUE,0.579999999999984,24680,"","","VD_B_N","VD","B",0,14,20560014,0.00916460880352472,-0.329929782694489,FALSE,TRUE,0.108887613044268,-0.00916460880352472,8.39900545216428e-05
"M11_combined_two_process_IIW_GEE",-0.0103655394105627,0.0276976926947387,-0.0646530170922505,0.043921938271125,0.708226978313106,TRUE,0.469999999999999,24680,"","","VD_B_N","VD","B",0,14,20560014,0.0103655394105627,-0.374238371578573,FALSE,TRUE,0.108574955363376,-0.0103655394105627,0.000107444407271929
"M12_oracle_combined_IIW_GEE",-0.00340722627958694,0.0275967202755308,-0.0574967980196273,0.0506823454604534,0.901738968184971,TRUE,0.450000000000017,24680,"","","VD_B_N","VD","B",0,14,20560014,0.00340722627958694,-0.123464898928878,FALSE,TRUE,0.108179143480081,-0.00340722627958694,1.16091909203079e-05
"M8_patient_clustered_GEE",-0.0622158100970433,0.0305694632560744,-0.122131958078949,-0.00229966211513742,0.0418279943985742,TRUE,0.52000000000001,24637,"","","VD_B_N","VD","B",0,15,20560015,0.0622158100970433,-2.03522742862292,TRUE,FALSE,0.119832295963812,-0.0622158100970433,0.00387080702603135
"M9_single_process_IIW_GEE",-0.0406387489863724,0.0263701386824423,-0.0923242208039594,0.0110467228312146,0.123294957471572,TRUE,0.629999999999995,24637,"","","VD_B_N","VD","B",0,15,20560015,0.0406387489863724,-1.54108969527075,FALSE,TRUE,0.103370943635174,-0.0406387489863724,0.00165150791917738
"M10_separate_two_process_IIW_GEE",-0.0280174441936831,0.0261681268459825,-0.0793069728118089,0.0232720844244426,0.284317564510889,TRUE,0.72999999999999,24637,"","","VD_B_N","VD","B",0,15,20560015,0.0280174441936831,-1.07067060468581,FALSE,TRUE,0.102579057236252,-0.0280174441936831,0.00078497717914615
"M11_combined_two_process_IIW_GEE",-0.0285687925432752,0.0261655031421045,-0.0798531787018001,0.0227155936152496,0.274899240454565,TRUE,0.620000000000005,24637,"","","VD_B_N","VD","B",0,15,20560015,0.0285687925432752,-1.09184953899485,FALSE,TRUE,0.10256877231705,-0.0285687925432752,0.000816175907380699
"M12_oracle_combined_IIW_GEE",-0.0286246145887822,0.0261632227770786,-0.0799045312318563,0.0226553020542919,0.273920633874739,TRUE,0.539999999999992,24637,"","","VD_B_N","VD","B",0,15,20560015,0.0286246145887822,-1.09407831109629,FALSE,TRUE,0.102559833286148,-0.0286246145887822,0.000819368560356323
"M8_patient_clustered_GEE",-0.0784204913018897,0.0345192706878052,-0.146078261849988,-0.0107627207537915,0.0230992718071357,TRUE,0.52000000000001,24749,"","","VD_B_N","VD","B",0,16,20560016,0.0784204913018897,-2.27178876434356,TRUE,FALSE,0.135315541096196,-0.0784204913018897,0.00614977345602975
"M9_single_process_IIW_GEE",-0.00764181955729205,0.0276102809431618,-0.0617579702058893,0.0464743310913052,0.78195332227088,TRUE,0.72999999999999,24749,"","","VD_B_N","VD","B",0,16,20560016,0.00764181955729205,-0.276774422289414,FALSE,TRUE,0.108232301297194,-0.00764181955729205,5.83974061462112e-05
"M10_separate_two_process_IIW_GEE",-0.0153270713336485,0.0269823286155345,-0.068212435420096,0.0375582927527991,0.570007067894371,TRUE,0.560000000000002,24749,"","","VD_B_N","VD","B",0,16,20560016,0.0153270713336485,-0.568041089115795,FALSE,TRUE,0.105770728172895,-0.0153270713336485,0.000234919115666749
"M11_combined_two_process_IIW_GEE",-0.0181534237551621,0.027109831181462,-0.0712886928708276,0.0349818453605034,0.503096801328664,TRUE,0.550000000000011,24749,"","","VD_B_N","VD","B",0,16,20560016,0.0181534237551621,-0.669625112515479,FALSE,TRUE,0.106270538231331,-0.0181534237551621,0.000329546794034485
"M12_oracle_combined_IIW_GEE",-0.00944009696154799,0.0271163418539129,-0.0625881269952173,0.0437079330721213,0.727740204614357,TRUE,0.510000000000019,24749,"","","VD_B_N","VD","B",0,16,20560016,0.00944009696154799,-0.348133129918694,FALSE,TRUE,0.106296060067339,-0.00944009696154799,8.91154306434277e-05
