"scenario_id","mechanism","structure","true_beta3","replicate","seed","variant","estimate","std_error","ci_lower","ci_upper","p_value","converged"
"VD_B_N","VD","B",0,5,20560005,"untruncated",0.0085607049508939,0.027765662372188,-0.0458599932985946,0.0629814032003824,0.757838960615878,TRUE
"VD_B_N","VD","B",0,6,20560006,"frozen_trunc_1_99",0.00245950695305166,0.0268825137413102,-0.0502302199799163,0.0551492338860196,0.927102490060544,TRUE
"VD_B_N","VD","B",0,6,20560006,"mild_trunc_0.5_99.5",0.00597957872290834,0.0271512249949083,-0.047236822267112,0.0591959797129287,0.825690185135378,TRUE
"VD_B_N","VD","B",0,6,20560006,"untruncated",0.0144258305233697,0.0279933867806467,-0.0404412075666979,0.0692928686134372,0.606322475731332,TRUE
"VD_B_N","VD","B",0,7,20560007,"frozen_trunc_1_99",0.0178114089537365,0.0274683239202185,-0.0360265059298918,0.0716493238373647,0.516703960760512,TRUE
"VD_B_N","VD","B",0,7,20560007,"mild_trunc_0.5_99.5",0.0197622997272042,0.0275711820099559,-0.0342772170123094,0.0738018164667178,0.473513706657485,TRUE
"VD_B_N","VD","B",0,7,20560007,"untruncated",0.0247035938233126,0.0278852657252215,-0.0299515269981215,0.0793587146447466,0.375670702670447,TRUE
"VD_B_N","VD","B",0,8,20560008,"frozen_trunc_1_99",-0.0436243072794056,0.0244898394351561,-0.0916243925723116,0.00437577801350034,0.0748597456926093,TRUE
"VD_B_N","VD","B",0,8,20560008,"mild_trunc_0.5_99.5",-0.0438241303891862,0.0246721329723845,-0.0921815110150598,0.00453325023668736,0.0756900229795183,TRUE
"VD_B_N","VD","B",0,8,20560008,"untruncated",-0.0437712275677564,0.0249257309049251,-0.0926256601414097,0.00508320500589687,0.0790771466125759,TRUE
"VD_B_N","VD","B",0,9,20560009,"frozen_trunc_1_99",-0.00703192888020916,0.0274538201152476,-0.0608414163060945,0.0467775585456762,0.797845340885463,TRUE
"VD_B_N","VD","B",0,9,20560009,"mild_trunc_0.5_99.5",-0.00145125090781274,0.0281099890179239,-0.0565468293829435,0.053644327567318,0.958825437279841,TRUE
"VD_B_N","VD","B",0,9,20560009,"untruncated",0.0115028904502164,0.0303947361592345,-0.0480707924218831,0.071076573322316,0.705096268296471,TRUE
"VD_B_N","VD","B",0,10,20560010,"frozen_trunc_1_99",0.0569767767432331,0.0263356230587623,0.00535895554805913,0.108594597938407,0.0305037465687187,TRUE
"VD_B_N","VD","B",0,10,20560010,"mild_trunc_0.5_99.5",0.0597306678064178,0.0264607843913192,0.00786753039943217,0.111593805213403,0.0239875910249127,TRUE
"VD_B_N","VD","B",0,10,20560010,"untruncated",0.0653059484055691,0.0267387528711162,0.0128979927781813,0.117713904032957,0.0145911525879583,TRUE
"VD_B_N","VD","B",0,11,20560011,"frozen_trunc_1_99",-0.00347361457928485,0.0237835092019793,-0.0500892926151642,0.0431420634565945,0.883880819942547,TRUE
"VD_B_N","VD","B",0,11,20560011,"mild_trunc_0.5_99.5",-0.000723915366379841,0.0238104426395688,-0.0473923829399348,0.0459445522071751,0.9757454353055,TRUE
"VD_B_N","VD","B",0,11,20560011,"untruncated",0.00318976867025469,0.0240843944786659,-0.0440156445079305,0.0503951818484399,0.894635244581633,TRUE
"VD_B_N","VD","B",0,12,20560012,"frozen_trunc_1_99",1.32176363811669e-05,0.026549983797405,-0.0520247506065326,0.0520511858792949,0.999602781393628,TRUE
"VD_B_N","VD","B",0,12,20560012,"mild_trunc_0.5_99.5",0.00154874760108303,0.0268762215732842,-0.051128646682554,0.0542261418847201,0.95404717757953,TRUE
"VD_B_N","VD","B",0,12,20560012,"untruncated",0.00249077632957425,0.0278328365905207,-0.0520615833878464,0.0570431360469949,0.928692049895493,TRUE
"VD_B_N","VD","B",0,13,20560013,"frozen_trunc_1_99",0.00021721406694847,0.0279131136191957,-0.0544924886266751,0.054926916760572,0.993791090324022,TRUE
